Mobile,Price (â‚¹),MRP,Discount (%),Rating,Storage,Display,Camera,Battery (MAH),Processor
"Samsung Galaxy F36 5G (Red, 128 GB)","15,999","22,999",30,4.3,6 GB RAM & 128 GB ROM & Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000,Samsung Exynos 1380 Processor
"Samsung Galaxy F36 5G (Black, 256 GB)","19,499","27,499",29,4.2,8 GB RAM & 256 GB ROM & Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000,Samsung Exynos 1380 Processor
"IQOO Z10X 5G (Titanium, 128 GB)","14,399","17,499",17,4.4,6 GB RAM & 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500,
"POCO C71 (Cool Blue, 128 GB)","6,799","9,999",32,4.1,6 GB RAM & 128 GB ROM & Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200,Unisoc T7250Max clock speed: 2 x A75@1.8GHz6 x A55@1.6GHz Processor
"Samsung Galaxy F36 5G (Violet, 128 GB)","15,999","22,999",30,4.3,6 GB RAM & 128 GB ROM & Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000,Samsung Exynos 1380 Processor
"Samsung Galaxy F36 5G (Black, 128 GB)","17,499","24,499",28,4.2,8 GB RAM & 128 GB ROM & Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000,Samsung Exynos 1380 Processor
"POCO C71 (Desert Gold, 64 GB)","6,199","8,999",31,3.8,4 GB RAM & 64 GB ROM & Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200,Unisoc T7250Max clock speed: 2 x A75@1.8GHz6 x A55@1.6GHz Processor
"POCO C71 (Power Black, 128 GB)","6,799","9,999",32,4.1,6 GB RAM & 128 GB ROM & Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200,Unisoc T7250Max clock speed: 2 x A75@1.8GHz6 x A55@1.6GHz Processor
"IQOO Z10X 5G (Ultramarine, 128 GB)","15,373","18,999",19,4.4,8 GB RAM & 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500,
"POCO M7 5G (Ocean Blue, 128 GB)","8,999","12,999",30,4.1,6 GB RAM & 128 GB ROM & Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160,4 Gen 2 5G Processor
"Samsung Galaxy F36 5G (Red, 256 GB)","19,499","27,499",29,4.2,8 GB RAM & 256 GB ROM & Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000,Samsung Exynos 1380 Processor
"Samsung Galaxy F36 5G (Black, 128 GB)","15,999","22,999",30,4.3,6 GB RAM & 128 GB ROM & Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000,Samsung Exynos 1380 Processor
"IQOO Z10R 5G (Moonstone, 128 GB)","18,940","23,499",19,4.4,8 GB RAM & 128 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,5700,
"IQOO Z10R 5G (Aquamarine, 128 GB)","18,720","23,499",20,4.4,8 GB RAM & 128 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,5700,
"REDMI A3X (Ocean Green, 128 GB)","6,499","10,999",40,4.1,4 GB RAM & 128 GB ROM & Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000,
"realme C61 (Marble Black, 64 GB)","6,499","8,999",27,4.4,4 GB RAM & 64 GB ROM & Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000,T612 Processor
"Samsung Galaxy F36 5G (Red, 128 GB)","17,499","24,499",28,4.2,8 GB RAM & 128 GB ROM & Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000,Samsung Exynos 1380 Processor
"Samsung Galaxy F36 5G (Violet, 128 GB)","17,499","24,499",28,4.2,8 GB RAM & 128 GB ROM & Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000,Samsung Exynos 1380 Processor
"POCO C75 5G (Enchanted Green, 64 GB)","7,499","10,999",31,4.2,4 GB RAM & 64 GB ROM & Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160,4s Gen 2 5G Processor
"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","10,499","13,999",25,4.2,4 GB RAM & 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,6000,
"realme C61 (Safari Green, 64 GB)","6,499","8,999",27,4.4,4 GB RAM & 64 GB ROM & Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000,T612 Processor
"IQOO Z10X 5G (Ultramarine, 256 GB)","17,301","20,499",15,4.4,8 GB RAM & 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500,
"IQOO Z10R 5G (Aquamarine, 256 GB)","21,834","24,999",12,4.4,8 GB RAM & 256 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,5700,
"POCO M7 5G (Satin Black, 128 GB)","8,999","12,999",30,4.1,6 GB RAM & 128 GB ROM & Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160,4 Gen 2 5G Processor
